species,iucn_red_list_category
Balaenoptera musculus,EN
Megaptera novaeangliae,LC
Orcinus orca,DD
Balaenoptera physalus,VU
Delphinus delphis,LC
Tursiops truncatus,LC
Phocoena phocoena,VU
Physeter macrocephalus,VU
Eubalaena glacialis,CR
Eubalaena australis,LC
Balaenoptera acutorostrata,LC
Lagenorhynchus acutus,LC
Grampus griseus,LC
Stenella coeruleoalba,LC
Globicephala melas,LC
